date,cases,deaths
10/11/2020,165342,2664
10/12/2020,166076,2665
10/13/2020,167193,2665
10/14/2020,167977,2706
10/15/2020,169162,2756
10/16/2020,170374,2786
10/17/2020,171662,2788
10/18/2020,172626,2788
10/19/2020,173485,2789
10/20/2020,174528,2805
10/21/2020,175674,2828
10/22/2020,177064,2843
10/23/2020,180916,2859
10/24/2020,183276,2866
10/25/2020,184355,2866
10/26/2020,185320,2863
10/27/2020,186436,2890
10/28/2020,187705,2909
10/29/2020,189149,2911
10/30/2020,190496,2930
10/31/2020,192285,2964
11/1/2020,193983,2970
11/2/2020,194885,2970
11/3/2020,195929,2983
11/4/2020,197777,3001
11/5/2020,199158,3021
11/6/2020,200713,3046
11/7/2020,202482,3079
11/8/2020,203687,3080
11/9/2020,204856,3080
11/10/2020,206567,3116
11/11/2020,208636,3197
11/12/2020,210637,3209
11/13/2020,213617,3229
11/14/2020,215843,3244
11/15/2020,217822,3246
11/16/2020,219232,3247
11/17/2020,220846,3296
11/18/2020,223486,3342
11/19/2020,225910,3413
11/20/2020,228373,3446
11/21/2020,230708,3455
11/22/2020,232506,3455
11/23/2020,234078,3457
11/24/2020,236865,3470
11/25/2020,239318,3530
11/26/2020,241957,3570
11/27/2020,242874,3570
11/28/2020,244993,3570
11/29/2020,247229,3575
11/30/2020,249523,3576
12/1/2020,252900,3635
12/2/2020,256828,3709
12/3/2020,260359,3774
12/4/2020,264199,3829
12/5/2020,267589,3874
12/6/2020,269877,3886
12/7/2020,272228,3889
12/8/2020,276665,3938
12/9/2020,280187,3982
12/10/2020,284922,4029
12/11/2020,288775,4079
12/12/2020,288775,4079
12/13/2020,288775,4079
12/14/2020,297887,4099
12/15/2020,301533,4124
12/16/2020,305640,4197
12/17/2020,310335,4253
12/18/2020,315683,4296
12/19/2020,319904,4389
12/20/2020,322451,4389
12/21/2020,324832,4389
12/22/2020,329811,4452
12/23/2020,334569,4587
12/24/2020,338801,4676
12/25/2020,342424,4680
12/26/2020,343456,4683
12/27/2020,345628,4689
12/28/2020,347894,4710
12/29/2020,351804,4737
12/30/2020,356820,4774
12/31/2020,361226,4827
1/1/2021,365747,4871
1/2/2021,369458,4871
1/3/2021,371934,4872
1/4/2021,374094,4877
1/5/2021,379593,4885
1/6/2021,384184,4992
1/7/2021,389230,5078
1/8/2021,394287,5191
1/9/2021,399150,5299
1/10/2021,401900,5333
1/11/2021,403997,5346
1/12/2021,407840,5568
1/13/2021,410985,5753
1/14/2021,414576,5941
1/15/2021,417528,6027
1/16/2021,420681,6118
1/17/2021,422598,6118
1/18/2021,424027,6119
1/19/2021,426543,6125
1/20/2021,429655,6282
1/21/2021,432536,6379
1/22/2021,436087,6486
1/23/2021,439442,6657
1/24/2021,441170,6660
1/25/2021,443009,6662
1/26/2021,445908,6895
1/27/2021,449086,7170
1/28/2021,452730,7338
1/29/2021,455582,7564
1/30/2021,455582,7566
1/31/2021,459639,7688
2/1/2021,460860,7688
2/2/2021,462918,7894
2/3/2021,465056,8203
2/4/2021,467823,8365
2/5/2021,469319,8449
2/6/2021,471312,8522
2/7/2021,472432,8524
2/8/2021,473365,8531
2/9/2021,474678,8588
2/10/2021,476068,8889
2/11/2021,477624,9022
2/12/2021,478716,9181
2/13/2021,479885,9244
2/14/2021,480946,9244
2/15/2021,481617,9246
2/16/2021,482488,9259
2/17/2021,483178,9349
2/18/2021,484367,9426
2/19/2021,485215,9574
2/20/2021,485989,9591
2/21/2021,486766,9593
2/22/2021,487439,9593
2/23/2021,488842,9663
2/24/2021,490138,9747
2/25/2021,491116,9835
2/26/2021,491868,9875
2/27/2021,492696,9934
2/28/2021,493257,9934
3/1/2021,493770,9936
3/2/2021,494442,9995
3/3/2021,497161,10033
3/4/2021,498085,10095
3/5/2021,498898,10125
3/6/2021,499445,10152
3/7/2021,499831,10152
3/8/2021,500098,10152
3/9/2021,500623,10189
3/10/2021,501403,10225
3/11/2021,502265,10279
3/12/2021,502726,10305
3/13/2021,503311,10333
3/14/2021,503680,10333
3/15/2021,508230,10335
3/16/2021,508733,10343
3/17/2021,509493,10368
3/18/2021,510060,10397
3/19/2021,510588,10429
3/20/2021,511098,10441
3/21/2021,511463,10441
3/22/2021,511782,10441
